Geography,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Forcible Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region,key,Population,Index Total Rate,Violent Total Rate,Murder Rate,Forcible Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Total Rate,Burglary Rate,Larceny Rate,Motor Vehicle Theft Rate
Albany County,County Total,1990,,14418.0,1524.0,12.0,119.0,450.0,943.0,12894.0,3163.0,9021.0,710.0,Non-New York City,1990Albany County,292956,4921.56,520.21,4.1,40.62,153.61,321.89,4401.34,1079.68,3079.3,242.36
Albany County,County Total,1991,,15464.0,1674.0,13.0,90.0,584.0,987.0,13790.0,3271.0,9768.0,751.0,Non-New York City,1991Albany County,295530,5232.63,566.44,4.4,30.45,197.61,333.98,4666.19,1106.83,3305.25,254.12
Albany County,County Total,1992,,16249.0,1588.0,11.0,96.0,561.0,920.0,14661.0,3450.0,10406.0,805.0,Non-New York City,1992Albany County,296913,5472.65,534.84,3.7,32.33,188.94,309.86,4937.81,1161.96,3504.73,271.12
Albany County,County Total,1993,,15139.0,1669.0,8.0,80.0,557.0,1024.0,13470.0,3235.0,9562.0,673.0,Non-New York City,1993Albany County,298592,5070.13,558.96,2.68,26.79,186.54,342.94,4511.17,1083.42,3202.36,225.39
Albany County,County Total,1994,,16724.0,1771.0,13.0,102.0,646.0,1010.0,14953.0,3401.0,10744.0,808.0,Non-New York City,1994Albany County,300262,5569.8,589.82,4.33,33.97,215.15,336.37,4979.98,1132.68,3578.21,269.1
Albany County,County Total,1995,,16699.0,1606.0,9.0,77.0,643.0,877.0,15093.0,3178.0,11030.0,885.0,Non-New York City,1995Albany County,299725,5571.44,535.82,3.0,25.69,214.53,292.6,5035.62,1060.31,3680.04,295.27
Albany County,County Total,1996,,13676.0,1408.0,11.0,64.0,557.0,776.0,12268.0,2911.0,8645.0,712.0,Non-New York City,1996Albany County,297680,4594.2,472.99,3.7,21.5,187.11,260.68,4121.2,977.9,2904.13,239.18
Albany County,County Total,1997,,14542.0,1450.0,10.0,128.0,503.0,809.0,13092.0,2789.0,9674.0,629.0,Non-New York City,1997Albany County,296187,4909.74,489.56,3.38,43.22,169.83,273.14,4420.18,941.63,3266.18,212.37
Albany County,County Total,1998,,13733.0,1310.0,3.0,103.0,475.0,729.0,12423.0,2767.0,9077.0,579.0,Non-New York City,1998Albany County,295097,4653.72,443.92,1.02,34.9,160.96,247.04,4209.8,937.66,3075.94,196.21
Albany County,County Total,1999,,14145.0,1133.0,13.0,73.0,435.0,612.0,13012.0,2845.0,9509.0,658.0,Non-New York City,1999Albany County,294692,4799.93,384.47,4.41,24.77,147.61,207.67,4415.46,965.41,3226.76,223.28
Albany County,County Total,2000,,14096.0,1353.0,12.0,79.0,487.0,775.0,12743.0,2489.0,9619.0,635.0,Non-New York City,2000Albany County,295106,4776.59,458.48,4.07,26.77,165.03,262.62,4318.11,843.43,3259.51,215.18
Albany County,County Total,2001,,13733.0,1649.0,7.0,83.0,533.0,1026.0,12084.0,2427.0,8889.0,768.0,Non-New York City,2001Albany County,296232,4635.89,556.66,2.36,28.02,179.93,346.35,4079.24,819.29,3000.69,259.26
Albany County,County Total,2002,,12784.0,1706.0,10.0,78.0,547.0,1071.0,11078.0,2180.0,8140.0,758.0,Non-New York City,2002Albany County,298283,4285.86,571.94,3.35,26.15,183.38,359.05,3713.92,730.85,2728.95,254.12
