Year,Bronx County,Kings County,New York County,Queens County,Richmond County
1960,0.0,0.0,0.0,0.0,0.0
1970,0.03370683211504651,-0.00909900929426537,-0.09581865427452818,0.09854839084029536,0.3393831281448347
1971,0.03691637159911989,-0.006969081409604239,-0.10448094278861979,0.10017749994750157,0.3736052362483164
1972,0.03347943417215568,-0.025562179545003862,-0.1119767576743778,0.09692812357356245,0.39492141573307027
1973,-0.0041479069212494255,-0.05116851056152679,-0.11905332509755452,0.08206388450787974,0.42272884936776717
1974,-0.03031551464576103,-0.06520982035299101,-0.12003255056142063,0.0751473547976379,0.4423557711799127
1975,-0.05393472134978927,-0.07790070410178589,-0.13787176562653647,0.06878344011697755,0.4570770887108036
1976,-0.07779325737025508,-0.08968990822964398,-0.13690372794608194,0.06600268128812353,0.47436607790405916
1977,-0.11182083288005812,-0.11084036616794535,-0.14513028173782783,0.05846667012972085,0.4952543121117523
1978,-0.14309226110056394,-0.13315132269815733,-0.15442556326073248,0.05266476493414487,0.529868327995279
1979,-0.1658110000245646,-0.14645690150301505,-0.15907791466783178,0.04774980686104716,0.5628111049547053
1980,-0.18052378729870194,-0.15046364754337024,-0.15959844101182313,0.04615274942555668,0.5906095292151483
1981,-0.1831135972038475,-0.14726038216143528,-0.16032388044145815,0.05139817128634411,0.6050966030154376
1982,-0.182820927629201,-0.1429342991848344,-0.16248724445483403,0.056377232702873266,0.6174619691789307
1983,-0.175046584995245,-0.13342536631448257,-0.15442261910720312,0.06726209094053973,0.6294714650593943
1984,-0.17223429006572782,-0.12884312867984435,-0.14155607935318124,0.07404488781362284,0.6435215842083688
1985,-0.1662819383569095,-0.12292036102201521,-0.1377834410206556,0.07736665675643714,0.6573960205593921
1986,-0.15860164302032193,-0.11677759723885832,-0.13135576503535046,0.07959756363085758,0.6716173178191909
1987,-0.15026722767517187,-0.11531070265925074,-0.12762905549788287,0.07905821136198606,0.6812933857678914
1988,-0.14667237501008903,-0.11451978233324542,-0.12606747646590877,0.0784597292849493,0.6924379817199796
1989,-0.14818765945052514,-0.11812535896859118,-0.12497048486086813,0.07783416907146307,0.6985508421512584
1990,-0.1528352803697322,-0.12318260553819312,-0.12436575572593699,0.08162289771427371,0.7143217517827299
1991,-0.14737351866733575,-0.11981833953166707,-0.12638485621637408,0.0917219373798753,0.7475843615281701
1992,-0.14153556777546558,-0.11401736903664915,-0.1250699972501606,0.10330253793978486,0.7822479289700934
1993,-0.13047869372515028,-0.1064324507225807,-0.12053305666141233,0.11816125085517176,0.8135419904410539
1994,-0.12213936546148096,-0.10111105655613194,-0.11445220196186615,0.13169147723944477,0.8298399484663793
1995,-0.11422605741798059,-0.09694597420412215,-0.10840196645902533,0.14644464068418162,0.8451198472010126
1996,-0.10676614156925636,-0.0927241800481784,-0.10414413162486066,0.1635419970844031,0.8671072250676829
1997,-0.09764916848854062,-0.08608433159429822,-0.1006294011415072,0.18176889860508913,0.8952344914883936
1998,-0.0870232275769135,-0.07798253657054967,-0.09846073765177847,0.20192829488422162,0.9322945524818573
1999,-0.07504132115397437,-0.06849834374889384,-0.0957774361251171,0.22071278496975538,0.9722150898009378
2000,-0.06351421061681692,-0.06101771425548249,-0.09287862256010637,0.23260837609652638,1.0056443729700755
2001,-0.05492642904517429,-0.05711792134872088,-0.08393899478354877,0.23305875734563528,1.022428837205112
2002,-0.046375143439674624,-0.05585922379429373,-0.08414331903848657,0.22929600160921496,1.0397808920181448
2003,-0.04382463688268302,-0.0587366817657087,-0.08015575749831742,0.22382566543138788,1.0538625439770082
2004,-0.04621793004705874,-0.0640291491059898,-0.07556699980745236,0.21493298437536265,1.0579482952011567
2005,-0.05129016749542923,-0.06908563444332416,-0.07343189966795836,0.20758652017210644,1.0587681482582627
2006,-0.053797159631250376,-0.07276885676996207,-0.07072445608235622,0.20130881343606077,1.0612412214909615
2007,-0.04966188592905044,-0.07079269780335011,-0.06882194407168189,0.20323688727427058,1.0705434004081247
2008,-0.04304207914711734,-0.06354690846448413,-0.06551271550467797,0.21222903903562046,1.0888279254564375
2009,-0.03407740654049824,-0.05312183256011166,-0.06762720656946641,0.2252392546770573,1.1035312242388204
2010,-0.02561806269585876,-0.044625719221761805,-0.06464595670563351,0.23529905867555861,1.1154100841926025
2011,-0.017546137568736995,-0.03136885928202856,-0.05196666511607914,0.24970020634645204,1.1219914320850846
2012,-0.00743254387411699,-0.019965219297694722,-0.04303351447728615,0.2603153884496827,1.1216040289921663
2013,0.0017560174478791983,-0.009494850073401822,-0.03902534386241146,0.2732211598505287,1.1293250627277682
2014,0.009365426388689058,-0.0021032847552961784,-0.03651515856327663,0.2829400003757782,1.131973818758418
