BORO,CUISINE DESCRIPTION,Count,Population,Total,Prop
BRONX,African,32,1438159,2367,0.01351922264469793
BRONX,American,419,1438159,2367,0.17701732150401353
BRONX,Armenian,2,1438159,2367,0.0008449514152936206
BRONX,Asian,5,1438159,2367,0.0021123785382340513
BRONX,Bagels/Pretzels,3,1438159,2367,0.0012674271229404308
BRONX,Bakery,74,1438159,2367,0.03126320236586396
BRONX,Bangladeshi,5,1438159,2367,0.0021123785382340513
BRONX,Barbecue,2,1438159,2367,0.0008449514152936206
BRONX,"Bottled beverages, including water, sodas, juices, etc.",5,1438159,2367,0.0021123785382340513
BRONX,Caribbean,109,1438159,2367,0.04604985213350232
BRONX,Chicken,114,1438159,2367,0.048162230671736375
BRONX,Chinese,326,1438159,2367,0.13772708069286016
BRONX,Chinese/Cuban,4,1438159,2367,0.0016899028305872412
BRONX,Chinese/Japanese,1,1438159,2367,0.0004224757076468103
BRONX,Continental,1,1438159,2367,0.0004224757076468103
BRONX,Creole,1,1438159,2367,0.0004224757076468103
BRONX,Delicatessen,23,1438159,2367,0.009716941275876637
BRONX,Donuts,68,1438159,2367,0.0287283481199831
BRONX,Eastern European,2,1438159,2367,0.0008449514152936206
BRONX,French,1,1438159,2367,0.0004224757076468103
BRONX,Fruits/Vegetables,1,1438159,2367,0.0004224757076468103
BRONX,Greek,3,1438159,2367,0.0012674271229404308
BRONX,Hamburgers,78,1438159,2367,0.032953105196451206
BRONX,Hotdogs,1,1438159,2367,0.0004224757076468103
BRONX,Hotdogs/Pretzels,1,1438159,2367,0.0004224757076468103
BRONX,"Ice Cream, Gelato, Yogurt, Ices",22,1438159,2367,0.009294465568229826
BRONX,Indian,6,1438159,2367,0.0025348542458808617
BRONX,Irish,14,1438159,2367,0.005914659907055344
BRONX,Italian,308,1438159,2367,0.13012251795521756
BRONX,Japanese,17,1438159,2367,0.007182087029995775
BRONX,Jewish/Kosher,11,1438159,2367,0.004647232784114913
BRONX,"Juice, Smoothies, Fruit Salads",41,1438159,2367,0.017321504013519222
BRONX,Latin,190,1438159,2367,0.08027038445289396
BRONX,Mediterranean,4,1438159,2367,0.0016899028305872412
BRONX,Mexican,98,1438159,2367,0.04140261934938741
BRONX,Middle Eastern,5,1438159,2367,0.0021123785382340513
BRONX,Not Listed/Not Applicable,1,1438159,2367,0.0004224757076468103
BRONX,Other,110,1438159,2367,0.04647232784114914
BRONX,Pakistani,4,1438159,2367,0.0016899028305872412
BRONX,Pancakes/Waffles,3,1438159,2367,0.0012674271229404308
BRONX,Peruvian,2,1438159,2367,0.0008449514152936206
BRONX,Sandwiches,53,1438159,2367,0.022391212505280946
BRONX,Sandwiches/Salads/Mixed Buffet,20,1438159,2367,0.008449514152936205
BRONX,Seafood,23,1438159,2367,0.009716941275876637
