BORO,CUISINE DESCRIPTION,Count,Population,Total,Prop,Btype
STATEN ISLAND,Italian,186,473279,710,0.2619718309859155,Italian STATEN ISLAND
BRONX,Chinese,326,1438159,1948,0.1673511293634497,Chinese BRONX
QUEENS,Chinese,738,2321580,4559,0.16187760473788113,Chinese QUEENS
MANHATTAN,Italian,1052,1636268,6547,0.16068428287765388,Italian MANHATTAN
BROOKLYN,Chinese,747,2621793,4683,0.15951313260730302,Chinese BROOKLYN
BRONX,Italian,308,1438159,1948,0.15811088295687886,Italian BRONX
BROOKLYN,Italian,623,2621793,4683,0.13303437967115098,Italian BROOKLYN
STATEN ISLAND,Chinese,88,473279,710,0.12394366197183099,Chinese STATEN ISLAND
QUEENS,Italian,509,2321580,4559,0.11164729107260364,Italian QUEENS
BRONX,Latin,190,1438159,1948,0.09753593429158111,Latin BRONX
MANHATTAN,Chinese,496,1636268,6547,0.07575989002596609,Chinese MANHATTAN
MANHATTAN,Other,483,1636268,6547,0.07377424774705972,Other MANHATTAN
QUEENS,Latin,322,2321580,4559,0.0706295240184251,Latin QUEENS
MANHATTAN,Japanese,462,1636268,6547,0.07056667175805713,Japanese MANHATTAN
BROOKLYN,Caribbean,318,2621793,4683,0.06790518898142217,Caribbean BROOKLYN
BROOKLYN,Other,312,2621793,4683,0.06662395900064061,Other BROOKLYN
BRONX,Spanish,127,1438159,1948,0.06519507186858316,Spanish BRONX
BRONX,Chicken,114,1438159,1948,0.058521560574948665,Chicken BRONX
BRONX,Other,110,1438159,1948,0.05646817248459959,Other BRONX
STATEN ISLAND,Other,40,473279,710,0.056338028169014086,Other STATEN ISLAND
BRONX,Caribbean,109,1438159,1948,0.05595482546201232,Caribbean BRONX
QUEENS,Other,245,2321580,4559,0.053739855231410394,Other QUEENS
STATEN ISLAND,Japanese,37,473279,710,0.05211267605633803,Japanese STATEN ISLAND
STATEN ISLAND,Mexican,36,473279,710,0.05070422535211268,Mexican STATEN ISLAND
BRONX,Mexican,98,1438159,1948,0.050308008213552365,Mexican BRONX
STATEN ISLAND,"Ice Cream, Gelato, Yogurt, Ices",35,473279,710,0.04929577464788732,"Ice Cream, Gelato, Yogurt, Ices STATEN ISLAND"
BROOKLYN,Mexican,229,2621793,4683,0.04890027759982917,Mexican BROOKLYN
STATEN ISLAND,Donuts,33,473279,710,0.04647887323943662,Donuts STATEN ISLAND
QUEENS,Bakery,203,2321580,4559,0.04452730862031147,Bakery QUEENS
QUEENS,Spanish,202,2321580,4559,0.04430796227242816,Spanish QUEENS
MANHATTAN,Mexican,287,1636268,6547,0.043836871849702155,Mexican MANHATTAN
MANHATTAN,French,276,1636268,6547,0.04215671299831984,French MANHATTAN
QUEENS,Caribbean,187,2321580,4559,0.04101776705417855,Caribbean QUEENS
BRONX,Hamburgers,78,1438159,1948,0.04004106776180698,Hamburgers BRONX
BROOKLYN,Bakery,183,2621793,4683,0.039077514413837285,Bakery BROOKLYN
BRONX,Bakery,74,1438159,1948,0.037987679671457907,Bakery BRONX
MANHATTAN,Bakery,238,1636268,6547,0.036352527875362764,Bakery MANHATTAN
BROOKLYN,Jewish/Kosher,169,2621793,4683,0.03608797779201366,Jewish/Kosher BROOKLYN
QUEENS,Korean,162,2321580,4559,0.035534108357095855,Korean QUEENS
QUEENS,Mexican,162,2321580,4559,0.035534108357095855,Mexican QUEENS
BROOKLYN,Latin,164,2621793,4683,0.03502028614136238,Latin BROOKLYN
BRONX,Donuts,68,1438159,1948,0.03490759753593429,Donuts BRONX
STATEN ISLAND,Hamburgers,24,473279,710,0.03380281690140845,Hamburgers STATEN ISLAND
BROOKLYN,Japanese,156,2621793,4683,0.033311979500320305,Japanese BROOKLYN
QUEENS,Donuts,146,2321580,4559,0.03202456679096293,Donuts QUEENS
STATEN ISLAND,Sandwiches,22,473279,710,0.030985915492957747,Sandwiches STATEN ISLAND
BROOKLYN,Chicken,141,2621793,4683,0.03010890454836643,Chicken BROOKLYN
BROOKLYN,Spanish,138,2621793,4683,0.029468289557975657,Spanish BROOKLYN
QUEENS,Asian,134,2321580,4559,0.02939241061636324,Asian QUEENS
MANHATTAN,Latin,192,1636268,6547,0.029326409042309456,Latin MANHATTAN
MANHATTAN,Sandwiches,187,1636268,6547,0.028562700473499313,Sandwiches MANHATTAN
STATEN ISLAND,Bakery,20,473279,710,0.028169014084507043,Bakery STATEN ISLAND
BRONX,Sandwiches,53,1438159,1948,0.027207392197125257,Sandwiches BRONX
QUEENS,Japanese,119,2321580,4559,0.02610221539811362,Japanese QUEENS
STATEN ISLAND,Latin,17,473279,710,0.023943661971830985,Latin STATEN ISLAND
BROOKLYN,Donuts,112,2621793,4683,0.02391629297458894,Donuts BROOKLYN
QUEENS,Hamburgers,107,2321580,4559,0.023470059223513928,Hamburgers QUEENS
MANHATTAN,Indian,150,1636268,6547,0.02291125706430426,Indian MANHATTAN
MANHATTAN,Asian,149,1636268,6547,0.022758515350542234,Asian MANHATTAN
MANHATTAN,Thai,149,1636268,6547,0.022758515350542234,Thai MANHATTAN
QUEENS,Indian,103,2321580,4559,0.022592673831980697,Indian QUEENS
STATEN ISLAND,Spanish,16,473279,710,0.022535211267605635,Spanish STATEN ISLAND
STATEN ISLAND,Delicatessen,16,473279,710,0.022535211267605635,Delicatessen STATEN ISLAND
MANHATTAN,Donuts,142,1636268,6547,0.021689323354208034,Donuts MANHATTAN
MANHATTAN,"Juice, Smoothies, Fruit Salads",141,1636268,6547,0.021536581640446004,"Juice, Smoothies, Fruit Salads MANHATTAN"
MANHATTAN,Sandwiches/Salads/Mixed Buffet,141,1636268,6547,0.021536581640446004,Sandwiches/Salads/Mixed Buffet MANHATTAN
MANHATTAN,Mediterranean,140,1636268,6547,0.021383839926683978,Mediterranean MANHATTAN
